UnitCode	Description	ZipCode	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79707	0	0	0	0	0	0	0	0	1	0	0	2
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79778	0	0	0	0	0	0	0	0	0	0	1	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79902	1	0	0	0	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79912	0	0	0	0	0	1	0	0	0	1	1	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79925	0	0	0	1	0	0	0	0	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79927	0	0	0	0	0	1	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79928	0	0	0	0	0	0	0	0	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79930	0	0	0	0	0	0	1	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	79936	1	0	0	0	0	1	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	88011	1	2	2	3	3	2	2	1	1	0	4	6
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89052	0	0	1	0	0	0	1	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89074	0	0	0	1	0	0	0	0	0	1	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89109	0	0	0	0	0	0	0	1	1	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89110	0	0	0	0	0	0	0	0	0	0	1	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89118	0	0	0	0	0	0	0	0	2	0	0	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89120	0	0	0	0	1	0	0	0	0	0	1	2
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89121	0	0	0	0	0	0	0	0	1	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89128	1	1	1	2	0	0	2	1	1	2	1	1
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89144	0	1	0	0	0	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89148	1	0	0	1	1	0	0	0	0	0	0	0
3940	JAK2 V617F MUTATION, WHOLE BLOOD	89169	0	0	1	0	0	0	1	1	0	0	1	0
